Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,Comment
,,,,,,Get,Set,,
sematic,977,https://github.com/sematic-ai/sematic,N,Y,,,,,
textual-paint,974,https://github.com/1j01/textual-paint,N,Y,,,,,
VisionLLM,962,https://github.com/OpenGVLab/VisionLLM,N,Y,amp library: set_fn false positive,,,,
differentiable_volumetric_rendering,806,https://github.com/autonomousvision/differentiable_volumetric_rendering,N,Y,dst obj not controllable,,,,
unprompted,785,https://github.com/ThereforeGames/unprompted,N,Y,amp library: set_fn false positive,,,,
TinyNeuralNetwork,771,https://github.com/alibaba/TinyNeuralNetwork,N,Y,"multiattribute only, value must be nn.module type",,,,
Kaggler,744,https://github.com/jeongyoonlee/Kaggler,N,Y,fn:set_builtin,,,,
aiogram_dialog,720,https://github.com/Tishka17/aiogram_dialog,N,Y,only setattr for Bot class,,,,
JSPyBridge,709,https://github.com/extremeheat/JSPyBridge,Y,Y,,Attr/Field,Attr/Field,Function,"mothly downlaod 19,449: multiple pollution"
MetaSpore,645,https://github.com/meta-soul/MetaSpore,N,Y,"fn:setDefault,only for setting default value for attributes; if attr exists, not set;",,,,
phillip,565,https://github.com/vladfi1/phillip,P,Y,,Attr,Attr,,
nzbhydra,559,https://github.com/theotherp/nzbhydra,N,Y,"copy.py , false positive",,,,
dd-trace-py,555,https://github.com/DataDog/dd-trace-py,N,Y,self set,,,,
torchlens,525,https://github.com/johnmarktaylor91/torchlens,Y,Y,duplicated with Github dataset.,Attr/Field,Attr/Field,,
Rofunc,524,https://github.com/Skylark0924/Rofunc,N,Y,"issac_utils:apply_random_samples, false positive",,,,
TorchSemiSeg,509,https://github.com/charlesCXK/TorchSemiSeg,N,Y,amp library: set_fn false positive,,,,
EdiZon_CheatsConfigsAndScripts,493,https://github.com/WerWolv/EdiZon_CheatsConfigsAndScripts,N,Y,"copy.py , false positive",,,,
riven,442,https://github.com/rivenmedia/riven,Y,Y,duplicated with redacted's 100-1k codeql dataset.,Attr/Field,Attr/Field,Function,
dbx,442,https://github.com/databrickslabs/dbx,N,Y,"simply set, no recursive operation, no type check",,,,
ansible-navigator,399,https://github.com/ansible/ansible-navigator,N,Y,dest obj dataclass check,,,,
ProtoMotions,399,https://github.com/NVlabs/ProtoMotions,N,Y,"issac_utils:apply_random_samples, false positive",,,,
pymtl3,393,https://github.com/pymtl/pymtl3,N,Y,obj type check: NamedObject,,,,
ChatFred,377,https://github.com/chrislemke/ChatFred,N,Y,setting is operated on the attribute of self obj,,,,
graphql-core-legacy,373,https://github.com/graphql-python/graphql-core-legacy,N,Y,"visitor, false positive",,,,
returnn,352,https://github.com/rwth-i6/returnn,N,Y,key is not controllable,,,,
unity-python,350,https://github.com/exodrifter/unity-python,N,Y,"copy.py , false positive",,,,
fiddle,338,https://github.com/google/fiddle,N,Y,,,,,
tournesol,338,https://github.com/tournesol-app/tournesol,Y,Y,,Attr/Field,Attr/Field,Function,cli tool
jsonargparse,332,https://github.com/omni-us/jsonargparse,N,Y,only set namespaces not value,,,,
pycbc,320,https://github.com/gwastro/pycbc,N,Y,,,,,
pokitoki,316,https://github.com/nalgeon/pokitoki,Y,Y,duplicated with Github dataset.,Attr,Attr/Field,Remote,remote trigger
usaspending-api,314,https://github.com/fedspendingtransparency/usaspending-api,N,Y,"simply set, no recursive operation",,,,
RGBD_Semantic_Segmentation_PyTorch,305,https://github.com/charlesCXK/RGBD_Semantic_Segmentation_PyTorch,N,Y,amp library: set_fn false positive,,,,
pydantic-to-typescript,296,https://github.com/phillipdupuis/pydantic-to-typescript,N,Y,"simply set, no recursive operation",,,,
nebari,285,https://github.com/nebari-dev/nebari,Y,Y,duplicated with redacted's 100-1k codeql dataset.,,,,
ray-optics,280,https://github.com/mjhoptics/ray-optics,N,Y,"simply set, no recursive operation",,,,
