Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,Comment
,,,,,,Get,Set,,
text-generation-webui,40958,https://github.com/oobabooga/text-generation-webui,N,Y,,N,N,,
GPT-SoVITS,36533,https://github.com/RVC-Boss/GPT-SoVITS,N,Y,,N,N,,
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,N,Y,,N,N,,
nni,14071,https://github.com/microsoft/nni,N,Y,,N,N,,
urh,11033,https://github.com/jopohl/urh,N,Y,,N,N,,
nicegui,10270,https://github.com/zauberzeug/nicegui,N,Y,,N,N,,
modin,9921,https://github.com/modin-project/modin,N,Y,,N,N,,
wandb,9217,https://github.com/wandb/wandb,N,Y,,N,N,,
apex,8441,https://github.com/NVIDIA/apex,N,Y,,N,N,,
mesop,5659,https://github.com/google/mesop,Y,Y,,Attr/Field,Attr/Field,Remote,
composer,5182,https://github.com/mosaicml/composer,N,Y,,N,N,,
ms-swift,4503,https://github.com/modelscope/ms-swift,N,Y,,N,N,,
dynaconf,3808,https://github.com/dynaconf/dynaconf,N,Y,,N,N,,
koalas,3342,https://github.com/databricks/koalas,N,Y,,N,N,,
oils,2858,https://github.com/oils-for-unix/oils,N,Y,,N,N,,
Box,2642,https://github.com/cdgriffith/Box,N,Y,,N,N,,
robusta,2625,https://github.com/robusta-dev/robusta,Y,Y,,Attr/Field,Attr/Field,,
django-unicorn,2393,https://github.com/adamghill/django-unicorn,Y,Y,,Attr/Field,Attr/Field,Remote,
pennylane,2389,https://github.com/PennyLaneAI/pennylane,N,Y,,N,N,,
IsaacLab,2358,https://github.com/isaac-sim/IsaacLab,Y,Y,,Attr/Field,Attr/Field,Function,
Linly-Talker,2110,https://github.com/Kedreamix/Linly-Talker,N,Y,,N,N,,
beanie,2092,https://github.com/BeanieODM/beanie,N,Y,,N,N,,
IsaacGymEnvs,2079,https://github.com/isaac-sim/IsaacGymEnvs,N,Y,,N,N,,
omegaconf,1994,https://github.com/omry/omegaconf,N,Y,,N,N,,
greykite,1815,https://github.com/linkedin/greykite,N,Y,,N,N,,
fixinventory,1613,https://github.com/someengineering/fixinventory,Y,Y,,Attr/Field,Attr/Field,Function,
ATX,1580,https://github.com/NetEaseGame/ATX,N,Y,,N,N,,
sysreptor,1520,https://github.com/Syslifters/sysreptor,N,Y,,N,N,,
ykdl,1453,https://github.com/LifeActor/ykdl,N,Y,,N,N,,
pytorch_tabular,1401,https://github.com/manujosephv/pytorch_tabular,N,Y,,N,N,,
mixer,1320,https://github.com/ubisoft/mixer,N,Y,,N,N,,
ghost,1286,https://github.com/ai-forever/ghost,N,Y,,N,N,,
