Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment
,,,,,,Get,Set,,Remote,Local,,
ScoutSuite,6779,https://github.com/nccgroup/ScoutSuite,N,Y,duplicated,Attr/Field,Field,Function,,,,
litestar,5663,https://github.com/litestar-org/litestar,N,Y,sanitization after recursive get,Attr/Field,Field,,,,,
rekall,1933,https://github.com/google/rekall,N,Y,prototyeObj label over-tainting,Attr/Field,Field,,,,,
pyRevit,1328,https://github.com/pyrevitlabs/pyRevit,N,Y,,Attr/Field,Field,,,,,
open-interpreter,57277,https://github.com/OpenInterpreter/open-interpreter,Y,Y,,Attr,Attr,Local,,,,
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,Y,,Attr,Attr,Function,,,,
sd-webui-controlnet,17134,https://github.com/Mikubill/sd-webui-controlnet,Y,Y,,Attr,Attr,Local,,,Todo,"DoS, TODO: @Zhengyu Write PoC"
taipy,17109,https://github.com/Avaiga/taipy,Y,Y,,Attr,Attr,Remote,,,Reported,TODO: @Zhengyu Write PoC
airbyte,16374,https://github.com/airbytehq/airbyte,Y,Y,,Attr,Attr,Function,,,,in tests only
PaddleHub,12755,https://github.com/PaddlePaddle/PaddleHub,N,Y,getItem index needs to be an int,Attr/Field,Attr,,,,,
RWKV-LM,12737,https://github.com/BlinkDL/RWKV-LM,Y,Y,getItem index needs to be an int,Attr,Attr,Function,,,,
PySyft,9542,https://github.com/OpenMined/PySyft,N,Y,sanitization on base object,Attr,Attr,,,,,
ChatRWKV,9434,https://github.com/BlinkDL/ChatRWKV,Y,Y,,Attr,Attr,Function,,,,
clearml,5726,https://github.com/allegroai/clearml,N,Y,"key needs to be ""{}/{}""",Attr/Field,Field,,,,,
clearml,5726,https://github.com/allegroai/clearml,N,Y,"key needs to be ""{}/{}""",Attr,Field,,,,,
gluonts,4663,https://github.com/awslabs/gluonts,N,Y,type check,Attr,Attr,,,,,
AutoGPTQ,4541,https://github.com/AutoGPTQ/AutoGPTQ,Y,Y,,Attr,Attr,Function,,,,
coremltools,4462,https://github.com/apple/coremltools,N/A,Y,,Attr/Field,Attr,,,,,
coremltools,4462,https://github.com/apple/coremltools,N/A,Y,,Attr,Attr,,,,,
mm-cot,3823,https://github.com/amazon-science/mm-cot,Y,Y,,Attr,Attr,Function,,,,
PINTO_model_zoo,3624,https://github.com/PINTO0309/PINTO_model_zoo,Y,Y,,Attr,Attr,Function,,,,
Otter,3565,https://github.com/Luodian/Otter,Y,Y,,Attr,Attr,Function,,,,
alpa,3083,https://github.com/alpa-projects/alpa,Y,Y,,Attr,Attr,,,,,
AI-Writer,2989,https://github.com/BlinkDL/AI-Writer,Y,Y,,Attr,Attr,,,,,
BlenderTools,2829,https://github.com/EpicGamesExt/BlenderTools,Y,Y,,Attr,Attr,,,,,
OFA,2429,https://github.com/OFA-Sys/OFA,Y,Y,,Attr,Attr,,,,,
django-unicorn,2393,https://github.com/adamghill/django-unicorn,N/A,Y,,Attr,Attr,,,,,
JittorLLMs,2386,https://github.com/Jittor/JittorLLMs,Y,Y,,Attr,Attr,,,,,
ComfyUI,59080,https://github.com/comfyanonymous/ComfyUI,Y,Y,,Attr,Attr,Function,.get/.post/.api_route|import_aiohttp,,,"set_attr, set_attr_param"
ColossalAI,38869,https://github.com/hpcaitech/ColossalAI,Y,Y,,Attr,Attr,Function,import_fastapi|.get/.post/.api_route|import_starlette|import_sanic,,,"module_params_sharding_pass, setattr_"
DeepSpeed,35764,https://github.com/microsoft/DeepSpeed,Y,Y,,Attr,Attr,Function,,,,"recursive_setattr, "
pytorch-image-models,32491,https://github.com/huggingface/pytorch-image-models,Y,Y,,Attr,Attr,Function,,,,set_layer
fairseq,30638,https://github.com/facebookresearch/fairseq,Y,Y,,Attr,Attr,Function,,,,"_set_module_by_path, attrsetter"
spaCy,30588,https://github.com/explosion/spaCy,Y,Y,,Attr,Attr,Function,,,,DocCleaner.__call__ (built in pipeline function)
python-fire,27202,https://github.com/secretflow/secretflow,N/A,Y,can't find nested get,Attr,Field,,,,,
ragflow,24695,https://github.com/infiniflow/ragflow,N/A,Y,,Attr,Attr,Remote,import_flask|.route,,Reported,https://gist.github.com/redacted/e7c676f39f714ec4c4a6afa3a0ba037d
insightface,23651,https://github.com/deepinsight/insightface,N/A,Y,,Attr,Attr,,,,,
reflex,20541,https://github.com/reflex-dev/reflex,N/A,Y,,Attr,Field,None,import_fastapi|import_starlette,,,
minGPT,20333,https://github.com/karpathy/minGPT,N/A,Y,,Attr,Attr,,,,,
unilm,20316,https://github.com/microsoft/unilm,N/A,Y,,Attr,Attr,Function,import_flask|import_fastapi|import_starlette|import_tornado|.route,,,"resolve_attr, _set_module_by_path"
mlflow,18953,https://github.com/mlflow/mlflow,N/A,Y,,Attr,Attr,,import_flask|import_aiohttp|.get/.post/.api_route|import_fastapi|import_starlette|.route,,,
zipline,17891,https://github.com/quantopian/zipline,N/A,Y,,Attr,Attr,,,,,
ivy,14015,https://github.com/ivy-llc/ivy,N/A,Y,,Attr,Attr,,,,,
edgedb,13164,https://github.com/edgedb/edgedb,N/A,Y,,Attr,Attr,,,,,
pytest,12199,https://github.com/pytest-dev/pytest,N/A,Y,,Attr,Attr,,,,,
peewee,11300,https://github.com/coleifer/peewee,N/A,Y,,Attr,Attr,,import_flask|.route,,,
jinja,10492,https://github.com/pallets/jinja,N/A,Y,,Attr,Attr,,,,,
nerfstudio,9621,https://github.com/nerfstudio-project/nerfstudio,N/A,Y,,Attr,Field,,,,,
text-generation-inference,9192,https://github.com/huggingface/text-generation-inference,N/A,Y,,Attr,Attr,,import_aiohttp,,,
stable-diffusion-webui-forge,8736,https://github.com/lllyasviel/stable-diffusion-webui-forge,N/A,Y,,Attr,Attr,Function,import_fastapi|.get/.post/.api_route|import_starlette,,Todo,set_attr_raw
hummingbot,8472,https://github.com/hummingbot/hummingbot,N/A,Y,,Attr,Attr,Function,import_aiohttp|.route,,Todo,"decrypt_all_secure_data, prompt_a_config; cli config"
conan,8316,https://github.com/conan-io/conan,N/A,Y,,Attr,Attr,,import_bottle,,,
accelerate,8025,https://github.com/huggingface/accelerate,N/A,Y,,Attr,Attr,,,,,
ragas,7467,https://github.com/explodinggradients/ragas,N/A,Y,,Attr,Attr,,,,,
