Application,Downloads,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment,New
,,,,,,Get,Set,,Remote,Local,,,
google-api-core,344929604,https://pypi.org/project/google-api-core,N,Y,,Attr/Field,Attr/Field,,,,,,Yes
google-api-core,344929604,https://pypi.org/project/google-api-core,N,Y,,Attr/Field,Attr,,,,,,Yes
protobuf,258550650,https://pypi.org/project/protobuf,N,Y,,Attr,Attr,,,,,,Yes
pytest,197685962,https://pypi.org/project/pytest,N,Y,,Attr,Attr,,,,,,No
wrapt,189422095,https://pypi.org/project/wrapt,N/A,Y,,Attr,Attr,,,,,,No
azure-storage-blob,60061248,https://pypi.org/project/azure-storage-blob,N/A,Y,,Attr,Attr,,,,,,Yes
mako,49342702,https://pypi.org/project/mako,N/A,Y,,Attr,Attr,,,,,,Yes
msrest,34152166,https://pypi.org/project/msrest,N/A,Y,,Attr,Attr,,import_aiohttp,,,,Yes
astroid,30041259,https://pypi.org/project/astroid,N/A,Y,,Attr,Attr,,,,,,Yes
deepdiff,24419568,https://pypi.org/project/deepdiff,Y,Y,,Attr/Field,Attr/Field,Function,,,,,No
graphql-core,23482494,https://pypi.org/project/graphql-core,N/A,Y,,Attr,Attr,,,,,,Yes
mock,23138068,https://pypi.org/project/mock,N/A,Y,,Attr,Attr,,,,,,Yes
mock,23138068,https://pypi.org/project/mock,N/A,Y,,Attr,Field,,,,,,Yes
azure-storage-file-datalake,20545166,https://pypi.org/project/azure-storage-file-datalake,N/A,Y,,Attr,Attr,,,,,,Yes
datasets,19951104,https://pypi.org/project/datasets,N/A,Y,,Attr,Attr,,import_aiohttp,,,,No
apache-airflow,18950674,https://pypi.org/project/apache-airflow,N,Y,,Attr,Attr,,.route|import_flask,,,,Yes
azure-keyvault-secrets,18675343,https://pypi.org/project/azure-keyvault-secrets,N/A,Y,,Attr,Attr,,,,,,Yes
google-ads,17430689,https://pypi.org/project/google-ads,N/A,Y,,Attr,Attr,,,,,,Yes
wandb,17237478,https://pypi.org/project/wandb,N/A,Y,,Attr,Attr,,,,,,No
wandb,17237478,https://pypi.org/project/wandb,N,Y,,Attr/Field,Attr/Field,,,,,,No
ddtrace,13070847,https://pypi.org/project/ddtrace,N/A,Y,,Attr,Attr,,import_aiohttp|import_starlette|add_route|import_bottle|import_sanic|django_path|import_fastapi|import_cherrypy|import_django|import_flask|import_tornado|import_falcon|.route|import_pyramid,,,,Yes
spacy,12957148,https://pypi.org/project/spacy,N/A,Y,,Attr,Attr,,,,,,Yes
jsonpickle,12270101,https://pypi.org/project/jsonpickle,N/A,Y,,Attr/Field,Attr/Field,,,,,,Yes
accelerate,11097720,https://pypi.org/project/accelerate,N/A,Y,,Attr,Attr,,,,,,No
azure-mgmt-resource,10130643,https://pypi.org/project/azure-mgmt-resource,N/A,Y,,Attr,Attr,,,,,,Yes
pytorch-lightning,9371453,https://pypi.org/project/pytorch-lightning,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,No
azure-storage-queue,9218663,https://pypi.org/project/azure-storage-queue,N/A,Y,,Attr,Attr,,,,,,Yes
azure-servicebus,8738539,https://pypi.org/project/azure-servicebus,N/A,Y,,Attr,Attr,,import_aiohttp|rule_instantiation,,,,Yes
passlib,8721413,https://pypi.org/project/passlib,Y,Y,,Attr,Attr,,import_django,,,,Yes
azure-storage-file-share,8128162,https://pypi.org/project/azure-storage-file-share,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-storage,7672435,https://pypi.org/project/azure-mgmt-storage,N/A,Y,,Attr,Attr,,,,,,Yes
timm,7417641,https://pypi.org/project/timm,N/A,Y,,Attr,Attr,,,,,,Yes
azure-keyvault-keys,7067061,https://pypi.org/project/azure-keyvault-keys,N/A,Y,,Attr,Attr,,,,,,Yes
magicattr,6353048,https://pypi.org/project/magicattr,Y,Y,,Attr/Field,Attr/Field,Function,,,,,No
protobuf3-to-dict,6258441,https://pypi.org/project/protobuf3-to-dict,N/A,Y,,Attr,Attr,,,,,,Yes
azure-keyvault-certificates,6136102,https://pypi.org/project/azure-keyvault-certificates,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-datafactory,5984969,https://pypi.org/project/azure-mgmt-datafactory,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-containerregistry,5838675,https://pypi.org/project/azure-mgmt-containerregistry,N/A,Y,,Attr,Attr,,,,,,Yes
pydash,5668988,https://pypi.org/project/pydash,Y,Y,,Attr/Field,Attr/Field,Function,,,,,No
azure-mgmt-compute,5142215,https://pypi.org/project/azure-mgmt-compute,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-cosmosdb,4975381,https://pypi.org/project/azure-mgmt-cosmosdb,N/A,Y,,Attr,Attr,,,,,,Yes
azure-data-tables,4959635,https://pypi.org/project/azure-data-tables,N/A,Y,,Attr,Attr,,,,,,Yes
glom,4910653,https://pypi.org/project/glom,Y,Y,,Attr/Field,Attr/Field,Function,import_django,,,,No
azure-mgmt-containerinstance,4866724,https://pypi.org/project/azure-mgmt-containerinstance,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-keyvault,4789891,https://pypi.org/project/azure-mgmt-keyvault,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-authorization,4742860,https://pypi.org/project/azure-mgmt-authorization,N/A,Y,,Attr,Attr,,,,,,Yes
google-generativeai,4677887,https://pypi.org/project/google-generativeai,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-network,4519039,https://pypi.org/project/azure-mgmt-network,N/A,Y,,Attr,Attr,,,,,,Yes
azure-monitor-opentelemetry-exporter,4419762,https://pypi.org/project/azure-monitor-opentelemetry-exporter,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-containerservice,4076741,https://pypi.org/project/azure-mgmt-containerservice,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-monitor,3675630,https://pypi.org/project/azure-mgmt-monitor,N/A,Y,,Attr,Attr,,,,,,Yes
acryl-datahub,3648263,https://pypi.org/project/acryl-datahub,Y,Y,,Attr/Field,Attr/Field,Function,import_aiohttp|.get/.post/.api_route|import_fastapi,,,,Yes
azure-mgmt-web,3504766,https://pypi.org/project/azure-mgmt-web,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-redis,3497912,https://pypi.org/project/azure-mgmt-redis,N/A,Y,,Attr,Attr,,,,,,Yes
azure-appconfiguration,3455426,https://pypi.org/project/azure-appconfiguration,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-dns,3401195,https://pypi.org/project/azure-mgmt-dns,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-servicebus,3362579,https://pypi.org/project/azure-mgmt-servicebus,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-msi,3311208,https://pypi.org/project/azure-mgmt-msi,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-eventhub,3297188,https://pypi.org/project/azure-mgmt-eventhub,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-cdn,3244849,https://pypi.org/project/azure-mgmt-cdn,N/A,Y,,Attr,Attr,,,,,,Yes
qdrant-client,3232951,https://pypi.org/project/qdrant-client,N/A,Y,,Attr,Attr,,,,,,Yes
azure-monitor-query,3230658,https://pypi.org/project/azure-monitor-query,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-cognitiveservices,3204031,https://pypi.org/project/azure-mgmt-cognitiveservices,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-search,3203653,https://pypi.org/project/azure-mgmt-search,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-batch,3186489,https://pypi.org/project/azure-mgmt-batch,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-trafficmanager,3133847,https://pypi.org/project/azure-mgmt-trafficmanager,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-applicationinsights,3120613,https://pypi.org/project/azure-mgmt-applicationinsights,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-iothub,3103471,https://pypi.org/project/azure-mgmt-iothub,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-recoveryservicesbackup,3100576,https://pypi.org/project/azure-mgmt-recoveryservicesbackup,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-recoveryservices,3097259,https://pypi.org/project/azure-mgmt-recoveryservices,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-eventgrid,3061549,https://pypi.org/project/azure-mgmt-eventgrid,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-servicefabric,2976602,https://pypi.org/project/azure-mgmt-servicefabric,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-billing,2976237,https://pypi.org/project/azure-mgmt-billing,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-media,2975639,https://pypi.org/project/azure-mgmt-media,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-signalr,2944002,https://pypi.org/project/azure-mgmt-signalr,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-maps,2939492,https://pypi.org/project/azure-mgmt-maps,N/A,Y,,Attr,Attr,,,,,,Yes
