Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment,Source Sheet
,,,,,,Get,Set,,Remote,Local,,,
pyinstrument,6758,https://github.com/joerick/pyinstrument,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Github-Top-1K-SetBoth
clearml,5726,https://github.com/allegroai/clearml,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Github-Top-1K-SetBoth
mesop,5659,https://pypi.org/project/mesop/0.14.0,Y,Y,,Attr,Attr/Field,Remote,,,Acknowledged,,Github-Top-1K-SetBoth
azure-cli-core,4071,https://pypi.org/project/azure-cli-core/2.68.0,Y,Y,,Attr/Field,Attr/Field,Local,,,Assigned,,Github-Top-1K-SetBoth
robusta,2648,https://github.com/robusta-dev/robusta,Y,Y,,Attr/Field,Attr/Field,Function,,,,(Fixed) FN reason: function call through dependecy library: hikaru,Github-Top-1K-SetBoth
django-unicorn,2434,https://github.com/adamghill/django-unicorn,Y,Y,,Attr/Field,Attr/Field,Remote,,,Assigned,"(Fixed) FN reason: missing the source `for k, v in enumerate(dict)`",Github-Top-1K-SetBoth
IsaacLab,2358,https://github.com/isaac-sim/IsaacLab,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Github-Top-1K-SetBoth
glom,1919,https://github.com/mahmoud/glom,Y,Y,,Attr/Field,Attr/Field,Function,,,Acknowledged,,Github-Top-1K-SetBoth
fixinventory,1625,https://github.com/someengineering/fixinventory,Y,Y,,Attr/Field,Attr/Field,Function,,,,(Fixed) Not sure why previous cannot found.,Github-Top-1K-SetBoth
pydash,1344,https://github.com/dgilland/pydash,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Github-Top-1K-SetBoth
deepdiff,1303,https://github.com/seperman/deepdiff,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Github-Top-1K-SetBoth
training_extensions,1145,https://github.com/openvinotoolkit/training_extensions,Y,Y,,Attr/Field,Attr/Field,Function,,,,,Github-Top-1K-SetBoth
sverchok,2300+,https://github.com/nortikin/sverchok,Y,Y,,Attr/Field,Attr/Field,Local,,,Reported,https://gist.github.com/redacted/a31b8ea7466f91b437598297bf5cbce8,Github-Top-1K-SetBoth
pyro,8.6k,https://github.com/pyro-ppl/pyro,Y,Y,,Attr,Attr,Function,,,,"https://github.com/pyro-ppl/pyro/blob/86277f33fc60af7520c88deb9cf38ba39c6c9519/pyro/infer/autoguide/utils.py#L21
deep\w+set",Github-Top-1K-SetBoth
sapiens,4.7k,https://github.com/facebookresearch/sapiens,Y,Y,,Attr,Attr,Function,,,,https://github.com/facebookresearch/sapiens/blob/08dce797f7b40f5b41388f518cac85535c3f5d13/pretrain/mmpretrain/models/multimodal/flamingo/utils.py#L61,Github-Top-1K-SetBoth
open_flamingo,3.8k,https://github.com/mlfoundations/open_flamingo,Y,Y,,Attr,Attr,Function,,,,https://github.com/mlfoundations/open_flamingo/tree/655f693fbfa04cd6e9a987d960654624d48917cf,Github-Top-1K-SetBoth
open-interpreter,57277,https://github.com/OpenInterpreter/open-interpreter,Y,Y,,Attr,Attr,Local,,,,,Github-Top-1K-OneSetOnly
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,Y,,Attr,Attr,Function,,,,,Github-Top-1K-OneSetOnly
sd-webui-controlnet,17134,https://github.com/Mikubill/sd-webui-controlnet,Y,Y,,Attr,Attr,Local,,,Todo,"DoS, TODO: @Zhengyu Write PoC",Github-Top-1K-OneSetOnly
taipy,17109,https://github.com/Avaiga/taipy,Y,Y,,Attr,Attr,Remote,,,Reported,TODO: @Zhengyu Write PoC,Github-Top-1K-OneSetOnly
airbyte,16374,https://github.com/airbytehq/airbyte,Y,Y,,Attr,Attr,Function,,,,in tests only,Github-Top-1K-OneSetOnly
RWKV-LM,12737,https://github.com/BlinkDL/RWKV-LM,Y,Y,getItem index needs to be an int,Attr,Attr,Function,,,,,Github-Top-1K-OneSetOnly
ChatRWKV,9434,https://github.com/BlinkDL/ChatRWKV,Y,Y,,Attr,Attr,Function,,,,,Github-Top-1K-OneSetOnly
AutoGPTQ,4541,https://github.com/AutoGPTQ/AutoGPTQ,Y,Y,,Attr,Attr,Function,,,,,Github-Top-1K-OneSetOnly
mm-cot,3823,https://github.com/amazon-science/mm-cot,Y,Y,,Attr,Attr,Function,,,,,Github-Top-1K-OneSetOnly
PINTO_model_zoo,3624,https://github.com/PINTO0309/PINTO_model_zoo,Y,Y,,Attr,Attr,Function,,,,,Github-Top-1K-OneSetOnly
Otter,3565,https://github.com/Luodian/Otter,Y,Y,,Attr,Attr,Function,,,,,Github-Top-1K-OneSetOnly
alpa,3083,https://github.com/alpa-projects/alpa,Y,Y,,Attr,Attr,,,,,,Github-Top-1K-OneSetOnly
AI-Writer,2989,https://github.com/BlinkDL/AI-Writer,Y,Y,,Attr,Attr,,,,,,Github-Top-1K-OneSetOnly
BlenderTools,2829,https://github.com/EpicGamesExt/BlenderTools,Y,Y,,Attr,Attr,,,,,,Github-Top-1K-OneSetOnly
OFA,2429,https://github.com/OFA-Sys/OFA,Y,Y,,Attr,Attr,,,,,,Github-Top-1K-OneSetOnly
JittorLLMs,2386,https://github.com/Jittor/JittorLLMs,Y,Y,,Attr,Attr,,,,,,Github-Top-1K-OneSetOnly
ComfyUI,59080,https://github.com/comfyanonymous/ComfyUI,Y,Y,,Attr,Attr,Function,.get/.post/.api_route|import_aiohttp,,,"set_attr, set_attr_param",Github-Top-1K-OneSetOnly
ColossalAI,38869,https://github.com/hpcaitech/ColossalAI,Y,Y,,Attr,Attr,Function,import_fastapi|.get/.post/.api_route|import_starlette|import_sanic,,,"module_params_sharding_pass, setattr_",Github-Top-1K-OneSetOnly
DeepSpeed,35764,https://github.com/microsoft/DeepSpeed,Y,Y,,Attr,Attr,Function,,,,"recursive_setattr, ",Github-Top-1K-OneSetOnly
pytorch-image-models,32491,https://github.com/huggingface/pytorch-image-models,Y,Y,,Attr,Attr,Function,,,,set_layer,Github-Top-1K-OneSetOnly
fairseq,30638,https://github.com/facebookresearch/fairseq,Y,Y,,Attr,Attr,Function,,,,"_set_module_by_path, attrsetter",Github-Top-1K-OneSetOnly
spaCy,30588,https://github.com/explosion/spaCy,Y,Y,,Attr,Attr,Function,,,,DocCleaner.__call__ (built in pipeline function),Github-Top-1K-OneSetOnly
ragflow,24695,https://github.com/infiniflow/ragflow,Y,Y,,Attr,Attr,Remote,import_flask|.route,,Reported,https://gist.github.com/redacted/e7c676f39f714ec4c4a6afa3a0ba037d,Github-Top-1K-OneSetOnly
shuup,2258,https://github.com/shuup/shuup,Y,Y,,Attr,Attr,Function,import_django,,,remote,Github-Top-1K-OneSetOnly
lorax,2234,https://github.com/predibase/lorax,Y,Y,,Attr,Attr,Function,import_aiohttp,,,"remote, key is uncontrollable",Github-Top-1K-OneSetOnly
AliceMind,1983,https://github.com/alibaba/AliceMind,Y,Y,,Attr,Attr,Function,import_tornado,,,,Github-Top-1K-OneSetOnly
helm,1967,https://github.com/stanford-crfm/helm,Y,Y,,Attr,Attr,Function,import_bottle|.get/.post/.api_route,,,,Github-Top-1K-OneSetOnly
OnmyojiAutoScript,1891,https://github.com/runhey/OnmyojiAutoScript,Y,Y,,Attr,Attr,Function,import_fastapi|.get/.post/.api_route,,,,Github-Top-1K-OneSetOnly
generative-ai-python,1665,https://github.com/google-gemini/generative-ai-python,Y,Y,,Attr,Attr,,,,,client ,Github-Top-1K-OneSetOnly
piccolo,1460,https://github.com/piccolo-orm/piccolo,Y,Y,,Attr,Attr,Function,import_fastapi|.get/.post/.api_route,,,key is not under control,Github-Top-1K-OneSetOnly
JSPyBridge,709,https://github.com/extremeheat/JSPyBridge,Y,Y,,Attr/Field,Attr/Field,Function,,,,"mothly downlaod 19,449: multiple pollution",Github-Top-100-1K-Codeql-SmartSetter
torchlens,525,https://github.com/johnmarktaylor91/torchlens,Y,Y,duplicated with Github dataset.,Attr/Field,Attr/Field,,,,,,Github-Top-100-1K-Codeql-SmartSetter
riven,442,https://github.com/rivenmedia/riven,Y,Y,duplicated with Zhengyu's 100-1k codeql dataset.,Attr,Attr/Field,Function,,,,,Github-Top-100-1K-Codeql-SmartSetter
tournesol,338,https://github.com/tournesol-app/tournesol,Y,Y,,Attr/Field,Attr/Field,Function,,,,cli tool,Github-Top-100-1K-Codeql-SmartSetter
pokitoki,316,https://github.com/nalgeon/pokitoki,Y,Y,duplicated with Github dataset.,Attr,Attr/Field,Remote,,,,remote trigger,Github-Top-100-1K-Codeql-SmartSetter
nebari,285,https://github.com/nebari-dev/nebari,Y,Y,duplicated with Zhengyu's 100-1k codeql dataset.,Attr/Field,Attr/Field,,,,,,Github-Top-100-1K-Codeql-SmartSetter
AgentLab,171,https://github.com/ServiceNow/AgentLab,Y,Y,,Attr/Field,Attr/Field,,,,,ServiceNow big company,Github-Top-100-1K-Codeql-SmartSetter
