Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
,,,,,,,Get,Set,Triggering,Remote Pattern,Local,,,
summarize-from-feedback,1000,https://github.com/openai/summarize-from-feedback,Y,N/A,,,Attr,Attr,,,,,,Yes
modelzoo,989,https://github.com/Cerebras/modelzoo,Y,Y,flags.py: ./src/cerebras/modelzoo/trainer/callbacks/flags.py,,Attr,Attr,Function,.route|import_flask,,,,Yes
ONE-PEACE,989,https://github.com/OFA-Sys/ONE-PEACE,Y,N/A,,,Attr,Attr,,,,,,Yes
modelzoo,989,https://github.com/Cerebras/modelzoo,Y,N/A,,,Attr,Attr,Function,.route|import_flask,,,,Yes
ONE-PEACE,989,https://github.com/OFA-Sys/ONE-PEACE,Y,N/A,,,Attr,Attr,,,,,,Yes
StreamSpeech,986,https://github.com/ictnlp/StreamSpeech,Y,N/A,,,Attr,Attr,,import_tornado|.route|import_flask,,,,Yes
sematic,977,https://github.com/sematic-ai/sematic,Y,N,,,,,,,,,,
BMW-TensorFlow-Training-GUI,974,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Training-GUI,Y,N/A,,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
BMW-TensorFlow-Training-GUI,974,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Training-GUI,Y,N/A,,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
textual-paint,974,https://github.com/1j01/textual-paint,Y,N,,,,,,,,,,
icefall,971,https://github.com/k2-fsa/icefall,Y,N/A,,,Attr,Attr,,,,,,Yes
nncf,965,https://github.com/openvinotoolkit/nncf,Y,N/A,,,Attr,Attr,,,,,,Yes
VisionLLM,962,https://github.com/OpenGVLab/VisionLLM,Y,N,,amp library: set_fn false positive,,,,,,,,
espresso,943,https://github.com/freewym/espresso,Y,N/A,,,Attr,Attr,,,,,,Yes
espresso,943,https://github.com/freewym/espresso,Y,N/A,,,Attr,Attr,,,,,,Yes
espresso,943,https://github.com/freewym/espresso,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
