Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
,,,,,,,Get,Set,Triggering,Remote Pattern,Local Pattern,,,
ComfyUI,59080,https://github.com/comfyanonymous/ComfyUI,Y,Y,,,Attr,Attr,Function,import_aiohttp|.get/.post/.api_route,,,"set_attr, set_attr_param",
open-interpreter,57277,https://github.com/OpenInterpreter/open-interpreter,Y,Y,,,Attr,Attr,Local,import_fastapi|.get/.post/.api_route|import_starlette,,,,
ColossalAI,38869,https://github.com/hpcaitech/ColossalAI,Y,Y,,,Attr,Attr,Function,.get/.post/.api_route|import_pytorch_lightning|import_starlette|import_gradio|import_sanic|import_fastapi,,,"module_params_sharding_pass, setattr_",
airflow,37484,https://github.com/apache/airflow,Y,N,,not nested get; get processed between get and set;,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_starlette|.route|import_fastapi|import_flask,,,,Yes
Open-Assistant,37102,https://github.com/LAION-AI/Open-Assistant,Y,Y,,,Attr,Attr,Function,import_aiohttp|import_fastapi_utils|.get/.post/.api_route|import_starlette|import_fastapi,,,,Yes
DeepSpeed,35764,https://github.com/microsoft/DeepSpeed,Y,Y,,,Attr,Attr,Function,,,,"recursive_setattr,",
pytorch-image-models,32491,https://github.com/huggingface/pytorch-image-models,Y,Y,,,Attr,Attr,Function,,,,set_layer,
fairseq,30638,https://github.com/facebookresearch/fairseq,Y,Y,,,Attr,Attr,Function,,,,"_set_module_by_path, attrsetter",
spaCy,30588,https://github.com/explosion/spaCy,Y,Y,,,Attr,Attr,Function,,,,DocCleaner.__call__ (built in pipeline function),
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,N,,,N,N,,import_fastapi|.get/.post/.api_route|import_pytorch_lightning,,,,
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,Y,,,Attr,Attr,Function,,,,,
python-fire,27202,https://github.com/google/python-fire.git,Y,N,,,Attr,Field,None,,,,,
diffusers,26481,https://github.com/huggingface/diffusers,Y,Y,,,Attr,Attr,Function,import_fastapi|import_aiohttp|.get/.post/.api_route,,Todo,"library: get_module_from_name, get_submodule_by_name",Yes
ragflow,24695,https://github.com/infiniflow/ragflow,Y,Y,,,Attr,Attr,Remote,import_flask|.route,,Reported,https://gist.github.com/redacted/e7c676f39f714ec4c4a6afa3a0ba037d,
insightface,23651,https://github.com/deepinsight/insightface,Y,N,,vul in external library (stylegan2); already added it to the table,Attr,Attr,,,,,,
reflex,20541,https://github.com/reflex-dev/reflex,Y,N,,,Attr,Field,None,import_fastapi|import_starlette,,,,
minGPT,20333,https://github.com/karpathy/minGPT,Y,Y,,,Attr,Attr,Local,,,Todo,TODO: @redacted merge_from_args; --model.n_layer=10;,
unilm,20316,https://github.com/microsoft/unilm,Y,Y,,,Attr,Attr,Function,import_flask|import_gradio|import_tornado|import_starlette|.route|import_fastapi,,,"resolve_attr, _set_module_by_path",
mlflow,18953,https://github.com/mlflow/mlflow,Y,N,,no deep recursive get of base obj ,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_pytorch_lightning|import_starlette|.route|import_fastapi|import_flask,,,,
zipline,17891,https://github.com/quantopian/zipline,Y,Y,,,Attr,Attr,Local,,,Todo,PoC pending.,
sd-webui-controlnet,17134,https://github.com/Mikubill/sd-webui-controlnet,Y,Y,,,Attr,Attr,Local,import_fastapi|.get/.post/.api_route|import_gradio,,Todo,"DoS, TODO: @redacted Write PoC",
taipy,17109,https://github.com/Avaiga/taipy,Y,Y,,,Attr,Attr,Remote,import_flask|.route|import_flask_restful,,Assigned,,
airbyte,16374,https://github.com/airbytehq/airbyte,Y,Y,,,Attr,Attr,Function,,,,in tests only,
nni,14071,https://github.com/microsoft/nni,Y,Y,,,Attr,Attr,None,add_handlers|import_tornado,,,TODO: Maybe can be triggered remotely,No
ivy,14015,https://github.com/ivy-llc/ivy,Y,Y,,,Attr,Attr,Function,,,Todo,"library: _load_from_state_dict, _retrive_layer",
dgl,13579,https://github.com/dmlc/dgl,Y,N,,type check on before get attr,Attr/Field,Field,,,,,,Yes
dgl,13579,https://github.com/dmlc/dgl,Y,N,,,Attr,Field,,,,,,Yes
edgedb,13164,https://github.com/edgedb/edgedb,Y,N,,,Attr,Attr,,,,,,
PaddleHub,12755,https://github.com/PaddlePaddle/PaddleHub,Y,N,,getItem index needs to be an int,Attr/Field,Attr,,import_flask|import_gradio|.route,,,,
RWKV-LM,12737,https://github.com/BlinkDL/RWKV-LM,Y,Y,,getItem index needs to be an int,Attr,Attr,Function,,,,,
pytest,12199,https://github.com/pytest-dev/pytest,Y,N,,recursive import module but pytest intentionally do that ,Attr,Attr,,,,,,
peewee,11300,https://github.com/coleifer/peewee,Y,Y,,,Attr,Attr,Function,import_flask|.route,,,,
stylegan2,11089,https://github.com/NVlabs/stylegan2,N,Y,,,Attr,Attr,Function,,,Todo,library: create_session,
jinja,10492,https://github.com/pallets/jinja,Y,N,,ast tree,Attr,Attr,,,,,,
nicegui,10270,https://github.com/zauberzeug/nicegui,Y,N,,,N,N,,,,,,
nerfstudio,9621,https://github.com/nerfstudio-project/nerfstudio,Y,N,,no recursive deep get,Attr,Field,,,,,,
PySyft,9542,https://github.com/OpenMined/PySyft,Y,N,,sanitization on base object,Attr,Attr,,import_fastapi|.get/.post/.api_route|import_starlette,,,,
ChatRWKV,9434,https://github.com/BlinkDL/ChatRWKV,Y,Y,,,Attr,Attr,Function,,,,,
