Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,Status,Comment
,,,,,,Get,Set,,,
ScoutSuite,6779,https://github.com/nccgroup/ScoutSuite,N,Y,duplicated,Attr/Field,Field,,,
litestar,5663,https://github.com/litestar-org/litestar,N,Y,sanitization after recursive get,Attr/Field,Field,,,
rekall,1933,https://github.com/google/rekall,N,Y,prototyeObj label over-tainting,Attr/Field,Field,,,
pyRevit,1328,https://github.com/pyrevitlabs/pyRevit,N,Y,,Attr/Field,Field,,,
open-interpreter,57277,https://github.com/OpenInterpreter/open-interpreter,Y,Y,,Attr,Attr,,,
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,Y,,Attr,Attr,,,
sd-webui-controlnet,17134,https://github.com/Mikubill/sd-webui-controlnet,Y,Y,,Attr,Attr,,,
taipy,17109,https://github.com/Avaiga/taipy,Y,Y,,Attr,Attr,,,
airbyte,16374,https://github.com/airbytehq/airbyte,Y,Y,,Attr,Attr,,,
PaddleHub,12755,https://github.com/PaddlePaddle/PaddleHub,N,Y,getItem index needs to be an int,Attr/Field,Attr,,,
RWKV-LM,12737,https://github.com/BlinkDL/RWKV-LM,Y,Y,getItem index needs to be an int,Attr,Attr,,,
PySyft,9542,https://github.com/OpenMined/PySyft,N,Y,sanitization on base object,Attr,Attr,,,
ChatRWKV,9434,https://github.com/BlinkDL/ChatRWKV,Y,Y,,Attr,Attr,,,
clearml,5726,https://github.com/allegroai/clearml,N,Y,"key needs to be ""{}/{}""",Attr/Field,Field,,,
clearml,5726,https://github.com/allegroai/clearml,N,Y,"key needs to be ""{}/{}""",Attr,Field,,,
gluonts,4663,https://github.com/awslabs/gluonts,N,Y,type check,Attr,Attr,,,
AutoGPTQ,4541,https://github.com/AutoGPTQ/AutoGPTQ,Y,Y,,Attr,Attr,,,
coremltools,4462,https://github.com/apple/coremltools,N/A,Y,,Attr/Field,Attr,,,
coremltools,4462,https://github.com/apple/coremltools,N/A,Y,,Attr,Attr,,,
mm-cot,3823,https://github.com/amazon-science/mm-cot,Y,Y,,Attr,Attr,,,
PINTO_model_zoo,3624,https://github.com/PINTO0309/PINTO_model_zoo,Y,Y,,Attr,Attr,,,
Otter,3565,https://github.com/Luodian/Otter,Y,Y,,Attr,Attr,,,
alpa,3083,https://github.com/alpa-projects/alpa,Y,Y,,Attr,Attr,,,
AI-Writer,2989,https://github.com/BlinkDL/AI-Writer,Y,Y,,Attr,Attr,,,
BlenderTools,2829,https://github.com/EpicGamesExt/BlenderTools,Y,Y,,Attr,Attr,,,
OFA,2429,https://github.com/OFA-Sys/OFA,Y,Y,,Attr,Attr,,,
django-unicorn,2393,https://github.com/adamghill/django-unicorn,N/A,Y,,Attr,Attr,,,
JittorLLMs,2386,https://github.com/Jittor/JittorLLMs,Y,Y,,Attr,Attr,,,
comfyui_controlnet_aux,2367,https://github.com/Fannovel16/comfyui_controlnet_aux,N/A,Y,,Attr,Attr,,,
wrapt,2085,https://github.com/GrahamDumpleton/wrapt,N/A,Y,,Attr,Attr,,,
AliceMind,1983,https://github.com/alibaba/AliceMind,N/A,Y,,Attr,Attr,,,
transparent_latent_gan,1972,https://github.com/SummitKwan/transparent_latent_gan,N/A,Y,,Attr,Attr,,,
AutoAWQ,1806,https://github.com/casper-hansen/AutoAWQ,N/A,Y,,Attr,Attr,,,
EasyCV,1805,https://github.com/alibaba/EasyCV,N/A,Y,,Attr,Attr,,,
distilabel,1708,https://github.com/argilla-io/distilabel,N/A,Y,,Attr,Attr,,,
TransformerLens,1632,https://github.com/TransformerLensOrg/TransformerLens,N/A,Y,,Attr,Attr,,,
codeshell,1617,https://github.com/WisdomShell/codeshell,N/A,Y,,Attr,Attr,,,
OpenNMT-tf,1458,https://github.com/OpenNMT/OpenNMT-tf,N/A,Y,,Attr/Field,Attr,,,
python-opcua,1374,https://github.com/FreeOpcUa/python-opcua,N/A,Y,,Attr,Attr,,,
Lidar_AI_Solution,1349,https://github.com/NVIDIA-AI-IOT/Lidar_AI_Solution,N/A,Y,,Attr,Attr,,,
brevitas,1217,https://github.com/Xilinx/brevitas,N/A,Y,,Attr,Attr,,,
nut,1138,https://github.com/blawar/nut,N/A,Y,,Attr,Attr,,,
spyne,1132,https://github.com/arskom/spyne,N/A,Y,,Attr,Attr,,,
spyne,1132,https://github.com/arskom/spyne,N/A,Y,,Attr,Field,,,
steam,1111,https://github.com/ValvePython/steam,N/A,Y,,Attr,Attr,,,
fastapi-amis-admin,1100,https://github.com/amisadmin/fastapi-amis-admin,N/A,Y,,Attr,Attr,,,
noise2noise,1081,https://github.com/yu4u/noise2noise,N/A,Y,,Attr,Attr,,,
seed-tts-eval,1068,https://github.com/BytedanceSpeech/seed-tts-eval,N/A,Y,,Attr,Attr,,,
sentiment-discovery,1061,https://github.com/NVIDIA/sentiment-discovery,N/A,Y,,Attr,Attr,,,
