Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,New
,,,,,,,Get,Set,Triggering,Remote,Local,,,
google-api-core,344929604,https://pypi.org/project/google-api-core,Y,N,,,Attr/Field,Attr/Field,,,,,,Yes
google-api-core,344929604,https://pypi.org/project/google-api-core,Y,N,,,Attr/Field,Attr,,,,,,Yes
protobuf,258550650,https://pypi.org/project/protobuf,Y,N,,,Attr,Attr,,,,,,Yes
pytest,197685962,https://pypi.org/project/pytest,Y,N,,,Attr,Attr,,,,,,No
wrapt,189422095,https://pypi.org/project/wrapt,Y,N/A,,,Attr,Attr,,,,,,No
azure-storage-blob,60061248,https://pypi.org/project/azure-storage-blob,Y,N/A,,,Attr,Attr,,,,,,Yes
mako,49342702,https://pypi.org/project/mako,Y,N/A,,,Attr,Attr,,,,,,Yes
msrest,34152166,https://pypi.org/project/msrest,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,Yes
astroid,30041259,https://pypi.org/project/astroid,Y,N/A,,,Attr,Attr,,,,,,Yes
deepdiff,24419568,https://pypi.org/project/deepdiff,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,No
graphql-core,23482494,https://pypi.org/project/graphql-core,Y,N/A,,,Attr,Attr,,,,,,Yes
mock,23138068,https://pypi.org/project/mock,Y,N/A,,,Attr,Attr,,,,,,Yes
mock,23138068,https://pypi.org/project/mock,Y,N/A,,,Attr,Field,,,,,,Yes
azure-storage-file-datalake,20545166,https://pypi.org/project/azure-storage-file-datalake,Y,N/A,,,Attr,Attr,,,,,,Yes
datasets,19951104,https://pypi.org/project/datasets,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,No
apache-airflow,18950674,https://pypi.org/project/apache-airflow,Y,N,,,Attr,Attr,,import_flask|.route,,,,Yes
azure-keyvault-secrets,18675343,https://pypi.org/project/azure-keyvault-secrets,Y,N/A,,,Attr,Attr,,,,,,Yes
google-ads,17430689,https://pypi.org/project/google-ads,Y,N/A,,,Attr,Attr,,,,,,Yes
wandb,17237478,https://pypi.org/project/wandb,Y,N/A,,,Attr,Attr,,import_pytorch_lightning,,,,No
wandb,17237478,https://pypi.org/project/wandb,Y,N,,,Attr/Field,Attr/Field,,,,,,No
ddtrace,13070847,https://pypi.org/project/ddtrace,Y,N/A,,,Attr,Attr,,import_pyramid|import_bottle|import_cherrypy|add_route|import_sanic|import_fastapi|import_flask|import_aiohttp|django_path|import_starlette|import_django|.route|import_falcon|import_tornado,,,,Yes
spacy,12957148,https://pypi.org/project/spacy,Y,N/A,,,Attr,Attr,,,,,,Yes
jsonpickle,12270101,https://pypi.org/project/jsonpickle,Y,N/A,,,Attr/Field,Attr/Field,,,,,,Yes
accelerate,11097720,https://pypi.org/project/accelerate,Y,N/A,,,Attr,Attr,,,,,,No
azure-mgmt-resource,10130643,https://pypi.org/project/azure-mgmt-resource,Y,N/A,,,Attr,Attr,,,,,,Yes
pytorch-lightning,9371453,https://pypi.org/project/pytorch-lightning,Y,N/A,,,Attr,Attr,,import_pytorch_lightning|.get/.post/.api_route|import_fastapi,,,,No
azure-storage-queue,9218663,https://pypi.org/project/azure-storage-queue,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-servicebus,8738539,https://pypi.org/project/azure-servicebus,Y,N/A,,,Attr,Attr,,import_aiohttp|rule_instantiation,,,,Yes
passlib,8721413,https://pypi.org/project/passlib,Y,Y,,,Attr,Attr,,import_django,,,,Yes
azure-storage-file-share,8128162,https://pypi.org/project/azure-storage-file-share,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-storage,7672435,https://pypi.org/project/azure-mgmt-storage,Y,N/A,,,Attr,Attr,,,,,,Yes
timm,7417641,https://pypi.org/project/timm,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-keyvault-keys,7067061,https://pypi.org/project/azure-keyvault-keys,Y,N/A,,,Attr,Attr,,,,,,Yes
magicattr,6353048,https://pypi.org/project/magicattr,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,No
protobuf3-to-dict,6258441,https://pypi.org/project/protobuf3-to-dict,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-keyvault-certificates,6136102,https://pypi.org/project/azure-keyvault-certificates,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-datafactory,5984969,https://pypi.org/project/azure-mgmt-datafactory,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-containerregistry,5838675,https://pypi.org/project/azure-mgmt-containerregistry,Y,N/A,,,Attr,Attr,,,,,,Yes
pydash,5668988,https://pypi.org/project/pydash,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,No
azure-mgmt-compute,5142215,https://pypi.org/project/azure-mgmt-compute,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-cosmosdb,4975381,https://pypi.org/project/azure-mgmt-cosmosdb,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-data-tables,4959635,https://pypi.org/project/azure-data-tables,Y,N/A,,,Attr,Attr,,,,,,Yes
glom,4910653,https://pypi.org/project/glom,Y,Y,,,Attr/Field,Attr/Field,Function,import_django,,,,No
azure-mgmt-containerinstance,4866724,https://pypi.org/project/azure-mgmt-containerinstance,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-keyvault,4789891,https://pypi.org/project/azure-mgmt-keyvault,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-authorization,4742860,https://pypi.org/project/azure-mgmt-authorization,Y,N/A,,,Attr,Attr,,,,,,Yes
google-generativeai,4677887,https://pypi.org/project/google-generativeai,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-network,4519039,https://pypi.org/project/azure-mgmt-network,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-monitor-opentelemetry-exporter,4419762,https://pypi.org/project/azure-monitor-opentelemetry-exporter,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-containerservice,4076741,https://pypi.org/project/azure-mgmt-containerservice,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-monitor,3675630,https://pypi.org/project/azure-mgmt-monitor,Y,N/A,,,Attr,Attr,,,,,,Yes
