Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,Comment
,,,,,,Get,Set,,
wiktextract,843,https://github.com/tatuylonen/wiktextract,N,Y,only one layer.,N,N,,
sbi,611,https://github.com/sbi-dev/sbi,N,Y,obj.__dict__.items() to avoid traversing prototype.,N,N,,
riven,442,https://github.com/rivenmedia/riven,Y,Y,,Attr/Field,Attr/Field,Function,"Application, all keys are not under attacker's control in all the class pollution function usage."
dbx,442,https://github.com/databrickslabs/dbx,N,Y,only one layer.,N,N,,
Trace,409,https://github.com/microsoft/Trace,N,Y,"type checking before setAttr, obj.__dict__.items() to avoid traversing prototype.",N,N,,
pymtl3,393,https://github.com/pymtl/pymtl3,N,Y,only one layer.,N,N,,
sparsezoo,375,https://github.com/neuralmagic/sparsezoo,N,Y,"type checking before setAttr, need to be BaseModel.",N,N,,
graphql-core-legacy,373,https://github.com/graphql-python/graphql-core-legacy,N,Y,key and value are not from function arguments.,N,N,,
esmerald,334,https://github.com/dymmond/esmerald,N,Y,type checking.,N,N,,
jsonargparse,332,https://github.com/omni-us/jsonargparse,N,Y,conflicted key has been protected.,N,N,,
pokitoki,316,https://github.com/nalgeon/pokitoki,Y,Y,,Attr/Field,Attr/Field,Remote,
nebari,285,https://github.com/nebari-dev/nebari,Y,Y,,Attr/Field,Attr/Field,Function,
QPyTorch,271,https://github.com/Tiiiger/QPyTorch,N,Y,key is not under control.,N,N,,
gftools,242,https://github.com/googlefonts/gftools,N,Y,only one layer.,N,N,,
indy-plenum,216,https://github.com/hyperledger/indy-plenum,N,Y,"attribute key check: not startwith(""__"")",N,N,,
batchflow,202,https://github.com/analysiscenter/batchflow,N,Y,,N,N,,
oslo,175,https://github.com/EleutherAI/oslo,N,Y,"attribute key check: not startwith(""__"")",,,,
AgentLab,184,https://github.com/ServiceNow/AgentLab,Y,Y,,Attr/Field,Attr/Field,Function,https://github.com/ServiceNow/AgentLab/blob/0819ae42b6b3c5f384a28a6a0bc1b62f5fdf3c86/src/agentlab/experiments/args.py#L64
Prusa-Link,169,https://github.com/prusa3d/Prusa-Link,N,Y,type checking on base object.,N,N,,
graphqllib,158,https://github.com/dittos/graphqllib,N,Y,,N,N,,
relax,153,https://github.com/mlc-ai/relax,N,Y,type checking on base object.,,,,
netchecks,156,https://github.com/hardbyte/netchecks,Y,Y,,Attr/Field,Attr/Field,Function,
UnicomDailyTask,151,https://github.com/rhming/UnicomDailyTask,N,Y,"attribute key check: not startwith(""__"")",N,N,,
uavSim,121,https://github.com/theilem/uavSim,Y,Y,,Attr/Field,Attr/Field,Function,
edsnlp,118,https://github.com/aphp/edsnlp,Y,Y,,Attr/Field,Attr/Field,Function,
openapi-schema-pydantic,115,https://github.com/kuimono/openapi-schema-pydantic,N,Y,type checking on base object.,N,N,,
bunnet,113,https://github.com/BeanieODM/bunnet,N,Y,"Good,but dest obj type check",N,N,,
genielibs,109,https://github.com/CiscoTestAutomation/genielibs,Y,Y,,Attr/Field,Attr/Field,Function,https://github.com/CiscoTestAutomation/genielibs/blob/main/pkgs/sdk-pkg/src/genie/libs/sdk/libs/utils/common.py#L588
