Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,Comment
,,,,,,Get,Set,,
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,N,Y,,N,N,,
nicegui,10270,https://github.com/zauberzeug/nicegui,N,Y,,N,N,,
wandb,9217,https://github.com/wandb/wandb,N,Y,,N,N,,
ScoutSuite,6779,https://github.com/nccgroup/ScoutSuite,N,Y,,N,N,,
pyinstrument,6758,https://github.com/joerick/pyinstrument,Y,Y,,Attr/Field,Attr/Field,Function,
clearml,5726,https://github.com/allegroai/clearml,Y,Y,,Attr/Field,Attr/Field,Function,
mesop,5659,https://github.com/google/mesop,Y,Y,,Attr/Field,Attr/Field,Remote,
azure-cli-core,4071,https://github.com/Azure/azure-cli,Y,Y,,Attr/Field,Attr/Field,Local,
zenml,4181,https://github.com/zenml-io/zenml,N,Y,,N,N,,
KoboldAI-Client,3535,https://github.com/KoboldAI/KoboldAI-Client,N,Y,,N,N,,
deepsparse,3041,https://github.com/neuralmagic/deepsparse,N,Y,,N,N,,
robusta,2648,https://github.com/robusta-dev/robusta,Y,Y,,Attr/Field,Attr/Field,Function,(Fixed) FN reason: function call through dependecy library: hikaru
TensorRT,2610,https://github.com/pytorch/TensorRT,N,Y,,N,N,,
django-unicorn,2434,https://github.com/adamghill/django-unicorn,Y,Y,,Attr/Field,Attr/Field,Remote,"(Fixed) FN reason: missing the source `for k, v in enumerate(dict)`"
IsaacLab,2358,https://github.com/isaac-sim/IsaacLab,Y,Y,,Attr/Field,Attr/Field,Function,
beanie,2092,https://github.com/BeanieODM/beanie,N,Y,,N,N,,
omegaconf,1994,https://github.com/omry/omegaconf,N,Y,,N,N,,
glom,1919,https://github.com/mahmoud/glom,Y,Y,,Attr/Field,Attr/Field,Function,
EasyRec,1810,https://github.com/alibaba/EasyRec,N,Y,,N,N,,
fixinventory,1625,https://github.com/someengineering/fixinventory,Y,Y,,Attr/Field,Attr/Field,Function,(Fixed) Not sure why previous cannot found.
pydash,1344,https://github.com/dgilland/pydash,Y,Y,,Attr/Field,Attr/Field,Function,
deepdiff,1303,https://github.com/seperman/deepdiff,Y,Y,,Attr/Field,Attr/Field,Function,
diplomacy_cicero,1303,https://github.com/facebookresearch/diplomacy_cicero,N,Y,,N,N,,
training_extensions,1145,https://github.com/openvinotoolkit/training_extensions,Y,Y,,Attr/Field,Attr/Field,Function,
