Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,Source Sheet,
,,,,,,,Get,Set,Triggering,Remote,Local,,,,
ComfyUI,59080,https://github.com/comfyanonymous/ComfyUI,Y,Y,set_attr:comfy/utils.py,,Attr,Attr,Function,import_aiohttp|.get/.post/.api_route,,,"set_attr, set_attr_param",,Github-Top-1K-0523
open-interpreter,57277,https://github.com/OpenInterpreter/open-interpreter,Y,Y,"apply_profile_to_object:interpreter/terminal_interface/profiles/profiles.py,__init__:interpreter/core/core.py,get_profile:interpreter/terminal_interface/profiles/profiles.py,start_terminal_interface:interpreter/terminal_interface/start_terminal_interface.py,get_argument_dictionary:interpreter/terminal_interface/start_terminal_interface.py",,Attr,Attr,Local,import_starlette|.get/.post/.api_route|import_fastapi,,,,,
ColossalAI,38869,https://github.com/hpcaitech/ColossalAI,Y,Y,"solution_annotation_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,size_value_converting_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,node_args_converting_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,module_params_sharding_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,setattr_:colossalai/shardformer/_utils.py,_recursive_replace_layer:colossalai/shardformer/shard/sharder.py,_replace_attr:colossalai/shardformer/shard/sharder.py,_replace_sub_module:colossalai/shardformer/shard/sharder.py",,Attr,Attr,Function,.get/.post/.api_route|import_pytorch_lightning|import_fastapi|import_starlette|import_sanic|import_gradio,,,"module_params_sharding_pass, setattr_",,
Open-Assistant,37102,https://github.com/LAION-AI/Open-Assistant,Y,Y,rsetattr:model/model_training/efficiency_utils.py,,Attr,Attr,Function,import_aiohttp|import_fastapi_utils|.get/.post/.api_route|import_fastapi|import_starlette,,,,Yes,
DeepSpeed,35764,https://github.com/microsoft/DeepSpeed,Y,Y,"recursive_setattr:deepspeed/compression/helper.py,recursive_setattr:deepspeed/inference/quantization/utils.py,get_module_name:deepspeed/compression/compress.py",,Attr,Attr,Function,,,,"recursive_setattr,",,
pytorch-image-models,32491,https://github.com/huggingface/pytorch-image-models,Y,Y,set_layer:timm/models/_prune.py,,Attr,Attr,Function,,,,set_layer,,
fairseq,30638,https://github.com/facebookresearch/fairseq,Y,Y,"_set_module_by_path:fairseq/trainer.py,lambda:fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/modules/quantization/pq/utils.py",,Attr,Attr,Function,,,,"_set_module_by_path, attrsetter",,
spaCy,30588,https://github.com/explosion/spaCy,Y,Y,__call__:spacy/pipeline/functions.py,,Attr,Attr,Function,,,,DocCleaner.__call__ (built in pipeline function),,
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,Y,,,Attr,Attr,Function,,,,,,
diffusers,26481,https://github.com/huggingface/diffusers,Y,Y,get_module_from_name:src/diffusers/utils/loading_utils.py,,Attr,Attr,Function,import_aiohttp|.get/.post/.api_route|import_fastapi,,Todo,"library: get_module_from_name, get_submodule_by_name",Yes,
ragflow,24695,https://github.com/infiniflow/ragflow,Y,Y,_recursive_update_param:agent/component/base.py,,Attr,Attr,Remote,import_flask|.route|import_starlette|import_fastapi,,Reported,Selected. https://gist.github.com/superboy-zjc/e7c676f39f714ec4c4a6afa3a0ba037d,,Github-Top-1K-0523
minGPT,20333,https://github.com/karpathy/minGPT,Y,Y,merge_from_args:mingpt/utils.py,,Attr,Attr,Local,,,Todo,Selected. TODO: @zhong merge_from_args; --model.n_layer=10;,,
unilm,20316,https://github.com/microsoft/unilm,Y,Y,,,Attr,Attr,Function,import_flask|import_gradio|import_tornado|import_starlette|.route|import_fastapi,,,"resolve_attr, _set_module_by_path",,
zipline,17891,https://github.com/quantopian/zipline,Y,Y,,,Attr,Attr,Local,,,Todo,Selected. PoC pending.,,
sd-webui-controlnet,17134,https://github.com/Mikubill/sd-webui-controlnet,Y,Y,"recursive_set:scripts/controlnet_lora.py,get_state_dict:scripts/utils.py",,Attr,Attr,Local,.get/.post/.api_route|import_fastapi|import_gradio,,Todo,"Selected. DoS, TODO: @Zhengyu Write PoC",,
taipy,17109,https://github.com/Avaiga/taipy,Y,Y,"_attrsetter:taipy/gui/utils/_attributes.py,_setscopeattr_drill:taipy/gui/utils/_attributes.py,crud_scenario:taipy/gui_core/_context.py,__assign_var:taipy/gui_core/_context.py,edit_entity:taipy/gui_core/_context.py,submit_entity:taipy/gui_core/_context.py,act_on_jobs:taipy/gui_core/_context.py,edit_data_node:taipy/gui_core/_context.py,lock_datanode_for_edit:taipy/gui_core/_context.py,__check_readable_editable:taipy/gui_core/_context.py,update_data:taipy/gui_core/_context.py,tabular_data_edit:taipy/gui_core/_context.py,_expr_decode:taipy/gui/utils/_evaluator.py,re_evaluate_expr:taipy/gui/utils/_evaluator.py,_variable_decode:taipy/gui/utils/_variable_directory.py,__init__:taipy/core/data/data_node.py,__init__:taipy/core/job/job.py,__init__:taipy/core/scenario/scenario.py",,Attr,Attr,Remote,import_flask_restful|import_flask|.route,,Assigned,Selected.,,Github-Top-1K-0523
airbyte,16374,https://github.com/airbytehq/airbyte,Y,Y,"create_google_ads_row_from_dict:airbyte-integrations/connectors/source-google-ads/integration_tests/integration_test.py,test_empty_streams:airbyte-integrations/connectors/source-google-ads/integration_tests/integration_test.py",,Attr,Attr,Function,,,,in tests only,,
nni,14071,https://github.com/microsoft/nni,Y,Y,"set_nested_attr:nni/compression/utils/attr.py,copy_attr_new:nni/common/concrete_trace_utils/concrete_tracer.py",,Attr,Attr,None,add_handlers|import_tornado,,,TODO: Maybe can be triggered remotely,No,
ivy,14015,https://github.com/ivy-llc/ivy,Y,Y,"_retrive_layer:ivy/functional/backends/jax/module.py,_retrive_layer:ivy/functional/backends/tensorflow/module.py,_retrive_layer:ivy/functional/frontends/torch/nn/modules/module.py",,Attr,Attr,Function,,,Todo,"library: _load_from_state_dict, _retrive_layer",,
RWKV-LM,12737,https://github.com/BlinkDL/RWKV-LM,Y,Y,"__init__:RWKV-v2-RNN/src/model_run.py,__init__:RWKV-v3/src/model_run.py,__init__:RWKV-v4/src/model_run.py,__init__:RWKV-v4neo/math_demo/run.py,__init__:RWKV-v4neo/src/model_run.py",getItem index needs to be an int,Attr,Attr,Function,,,,,,
peewee,11300,https://github.com/coleifer/peewee,Y,Y,,,Attr,Attr,Function,import_flask|.route,,,,,
stylegan2,11089,https://github.com/NVlabs/stylegan2,N,Y,,,Attr,Attr,Function,,,Todo,library: create_session,,
ChatRWKV,9434,https://github.com/BlinkDL/ChatRWKV,Y,Y,"__init__:RWKV_in_150_lines.py,__init__:RWKV_v5_demo.py,__init__:RWKV_v6_demo.py,__init__:src/model_run.py",,Attr,Attr,Function,,,,,,
text-generation-inference,9192,https://github.com/huggingface/text-generation-inference,Y,Y,"setdeepattr:backends/gaudi/server/text_generation_server/layers/gptq/quantize.py,setdeepattr:server/text_generation_server/layers/gptq/quantize.py",,Attr,Attr,Local,import_aiohttp,,Todo,quantize->load_weights_pre_hook,,
stable-diffusion-webui-forge,8736,https://github.com/lllyasviel/stable-diffusion-webui-forge,Y,Y,"set_parameter_devices:backend/patcher/lora.py,set_attr:packages_3rdparty/comfyui_lora_collection/utils.py,forge_patch_model:backend/patcher/base.py,forge_unpatch_model:backend/patcher/base.py,set_attr_raw:backend/utils.py",,Attr,Attr,Function,.get/.post/.api_route|import_starlette|import_fastapi|import_gradio,,Todo,set_attr_raw,,
hummingbot,8472,https://github.com/hummingbot/hummingbot,Y,Y,"keys:hummingbot/client/config/config_helpers.py,__init__:hummingbot/client/config/config_helpers.py,traverse:hummingbot/client/config/config_helpers.py,genexpr:hummingbot/client/config/config_helpers.py",,Attr,Attr,Local,import_aiohttp,,Todo,"decrypt_all_secure_data, prompt_a_config; cli config",,
conan,8316,https://github.com/conan-io/conan,Y,Y,,,Attr,Attr,Function,import_bottle,,,,,
accelerate,8025,https://github.com/huggingface/accelerate,Y,Y,retie_parameters:src/accelerate/utils/modeling.py,,Attr,Attr,Function,,,Todo,library: load_checkpoint_in_model -> retie_parameters,,
modelscope,7070,https://github.com/modelscope/modelscope,Y,Y,_setattr:modelscope/trainers/hooks/compression/utils.py,,Attr,Attr,Function,import_starlette|.get/.post/.api_route|import_fastapi|import_gradio,,,convert_sparse_network -> _setattr,,
ipex-llm,6770,https://github.com/intel-analytics/ipex-llm,Y,Y,set_op_by_name:python/llm/src/ipex_llm/transformers/awq/awq.py,,Attr,Attr,Local,import_aiohttp|.get/.post/.api_route|import_fastapi|import_starlette|import_gradio,,,"TODO: PoC, load from model weights",,
pyinstrument,6758,https://github.com/joerick/pyinstrument,Y,Y,set_value_at_keypath:pyinstrument/vendor/keypath.py,,Attr/Field,Attr/Field,Function,import_litestar|import_django|import_flask|.route|@get/post/route|import_falcon|django_path,,,,,
metaseq,6518,https://github.com/facebookresearch/metaseq,Y,Y,_set_module_by_path:metaseq/trainer.py,,Attr,Attr,Function,import_flask|.route,,Todo,library: trainer.__init__ -> _set_module_by_path,,
pytext,6336,https://github.com/facebookresearch/pytext,Y,Y,"find_param:pytext/config/utils.py,replace_param:pytext/config/utils.py",,Attr,Attr,Local,import_flask|.route,,Todo,library: replace_param,,
tensorpack,6302,https://github.com/tensorpack/tensorpack,Y,Y,update_args:examples/FasterRCNN/config.py,also has RCE vul,Attr,Attr,Local,,,Todo,library: update_args; where set value gets evalutated before assigned to target obj,,
progressive_growing_of_gans,6102,https://github.com/tkarras/progressive_growing_of_gans,Y,Y,create_session:tfutil.py,,Attr,Attr,Local,,,,,,
mmpose,5925,https://github.com/open-mmlab/mmpose,Y,Y,"rsetattr:mmpose/utils/hooks.py,__init__:mmpose/engine/hooks/mode_switch_hooks.py",,Attr,Attr,Local,import_gradio,,,,Yes,
clearml,5726,https://github.com/allegroai/clearml,Y,Y,"_step:clearml/automation/scheduler.py,_step:clearml/automation/trigger.py,_deserialize_state:clearml/automation/scheduler.py,_deserialize_state:clearml/automation/trigger.py,_deserialize:clearml/automation/trigger.py,_get_data_property:clearml/backend_interface/task/access.py,__init__:clearml/automation/job.py,update:clearml/automation/scheduler.py,start_remotely:clearml/automation/scheduler.py,_launch_job:clearml/automation/scheduler.py,_launch_job:clearml/automation/trigger.py,_launch_job_task:clearml/automation/scheduler.py,__deserialize_scheduled_jobs:clearml/automation/scheduler.py,current_task:clearml/task.py,init:clearml/task.py,__deserialize_section:clearml/automation/trigger.py,__deserialize_triggers:clearml/automation/trigger.py",,Attr/Field,Attr/Field,Function,import_pytorch_lightning|.get/.post/.api_route|import_fastapi|import_starlette|import_gradio,,,,,
