Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment
,,,,,,Get,Set,,Remote,Local,,
summarize-from-feedback,1000,https://github.com/openai/summarize-from-feedback,N/A,Y,,Attr,Attr,,,,,,Yes
modelzoo,989,https://github.com/Cerebras/modelzoo,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
ONE-PEACE,989,https://github.com/OFA-Sys/ONE-PEACE,N/A,Y,,Attr,Attr,,,,,,Yes
modelzoo,989,https://github.com/Cerebras/modelzoo,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
ONE-PEACE,989,https://github.com/OFA-Sys/ONE-PEACE,N/A,Y,,Attr,Attr,,,,,,Yes
StreamSpeech,986,https://github.com/ictnlp/StreamSpeech,N/A,Y,,Attr,Attr,,import_tornado|.route|import_flask,,,,Yes
sematic,977,https://github.com/sematic-ai/sematic,N,Y,,,,,,,,,
BMW-TensorFlow-Training-GUI,974,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Training-GUI,N/A,Y,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
BMW-TensorFlow-Training-GUI,974,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Training-GUI,N/A,Y,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
textual-paint,974,https://github.com/1j01/textual-paint,N,Y,,,,,,,,,
icefall,971,https://github.com/k2-fsa/icefall,N/A,Y,,Attr,Attr,,,,,,Yes
nncf,965,https://github.com/openvinotoolkit/nncf,N/A,Y,,Attr,Attr,,,,,,Yes
VisionLLM,962,https://github.com/OpenGVLab/VisionLLM,N,Y,amp library: set_fn false positive,,,,,,,,
espresso,943,https://github.com/freewym/espresso,N/A,Y,,Attr,Attr,,,,,,Yes
espresso,943,https://github.com/freewym/espresso,N/A,Y,,Attr,Attr,,,,,,Yes
espresso,943,https://github.com/freewym/espresso,N/A,Y,,Attr/Field,Attr,,,,,,Yes
BlendArMocap,941,https://github.com/cgtinker/BlendArMocap,N/A,Y,,Attr,Attr,,,,,,Yes
BlendArMocap,941,https://github.com/cgtinker/BlendArMocap,N/A,Y,,Attr,Attr,,,,,,Yes
MCDReforged,936,https://github.com/MCDReforged/MCDReforged,N/A,Y,,Attr,Attr,,,,,,Yes
MCDReforged,936,https://github.com/MCDReforged/MCDReforged,N/A,Y,,Attr,Attr,,,,,,Yes
humanoid-gym,922,https://github.com/roboterax/humanoid-gym,N/A,Y,,Attr,Attr,,,,,,Yes
genforce,908,https://github.com/genforce/genforce,N/A,Y,,Attr,Attr,,,,,,Yes
pyatv,906,https://github.com/postlund/pyatv,N/A,Y,,Attr,Attr,,import_aiohttp|add_route|.get/.post/.api_route,,,,Yes
noah-research,877,https://github.com/huawei-noah/noah-research,N/A,Y,,Attr,Attr,,import_tornado,,,,Yes
ODISE,875,https://github.com/NVlabs/ODISE,N/A,Y,,Attr,Attr,,,,,,Yes
R-Drop,870,https://github.com/dropreg/R-Drop,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
R-Drop,870,https://github.com/dropreg/R-Drop,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
R-Drop,870,https://github.com/dropreg/R-Drop,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
VoiceprintRecognition-Pytorch,858,https://github.com/yeyupiaoling/VoiceprintRecognition-Pytorch,N/A,Y,,Attr,Attr,,,,,,Yes
model_bakery,855,https://github.com/model-bakers/model_bakery,N/A,Y,,Attr,Attr,,import_django,,,,Yes
sample-factory,848,https://github.com/alex-petrenko/sample-factory,N/A,Y,,Attr,Attr,,,,,,Yes
sample-factory,848,https://github.com/alex-petrenko/sample-factory,N/A,Y,,Attr,Attr,,,,,,Yes
vega,848,https://github.com/huawei-noah/vega,N/A,Y,,Attr,Attr,,import_flask,,,,Yes
wiktextract,843,https://github.com/tatuylonen/wiktextract,N,Y,only one layer.,N,N,,,,,,
d2go,843,https://github.com/facebookresearch/d2go,N/A,N,,Attr,Attr,,"https://github.com/facebookresearch/d2go/blob/f4ac15674818ec3c78288eb9f700b0213005cc8b/d2go/runner/callbacks/quantization.py#L32
/\w+, _, \w+ = \w+\.rpartition\("".""\)/ /setattr/ language:python",,,,
PPASR,832,https://github.com/yeyupiaoling/PPASR,N/A,Y,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
DrEureka,829,https://github.com/eureka-research/DrEureka,N/A,Y,,Attr,Attr,,,,,,Yes
DrEureka,829,https://github.com/eureka-research/DrEureka,N/A,Y,,Attr,Attr,,,,,,Yes
qdrant-client,825,https://github.com/qdrant/qdrant-client,N/A,Y,,Attr,Attr,,,,,,Yes
iommi,821,https://github.com/iommirocks/iommi,N/A,Y,,Attr,Attr,,import_flask|django_path|import_django,,,,Yes
differentiable_volumetric_rendering,806,https://github.com/autonomousvision/differentiable_volumetric_rendering,N,Y,dst obj not controllable,,,,,,,,
ProAgent,801,https://github.com/OpenBMB/ProAgent,N/A,Y,,Attr,Attr,,,,,,Yes
ProAgent,801,https://github.com/OpenBMB/ProAgent,N/A,Y,,Attr,Attr,,,,,,Yes
ktransformers,801,https://github.com/kvcache-ai/ktransformers,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
MagicDrive,789,https://github.com/cure-lab/MagicDrive,N/A,Y,,Attr,Attr,,,,,,Yes
MagicDrive,789,https://github.com/cure-lab/MagicDrive,N/A,Y,,Attr,Attr,,,,,,Yes
unprompted,785,https://github.com/ThereforeGames/unprompted,N,Y,amp library: set_fn false positive,,,,,,,,
parallelformers,781,https://github.com/tunib-ai/parallelformers,N/A,Y,,Attr,Attr,,,,,,Yes
SpikeGPT,774,https://github.com/ridgerchu/SpikeGPT,N/A,Y,,Attr,Attr,,,,,,Yes
LongMem,772,https://github.com/Victorwz/LongMem,N/A,Y,,Attr,Attr,,,,,,Yes
LongMem,772,https://github.com/Victorwz/LongMem,N/A,Y,,Attr,Attr,,,,,,Yes
TinyNeuralNetwork,771,https://github.com/alibaba/TinyNeuralNetwork,N,Y,"multiattribute only, value must be nn.module type",,,,,,,,
meta-dataset,768,https://github.com/google-research/meta-dataset,N/A,N,,N,N,,"https://github.com/google-research/meta-dataset/blob/main/meta_dataset/models/experimental/reparameterizable_base_test.py#L193
/\bsetattr\(\s*target\s*,\s*\w+\s*,\s*\w+\s*\)/ /\btarget\[\w+\]\s*=|\btarget\.get\(/ /\btarget\s*=/ language:Python",,,,
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,N/A,Y,,Attr,Attr,,,,,,Yes
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,N/A,Y,,Attr,Attr,,,,,,Yes
Kaggler,744,https://github.com/jeongyoonlee/Kaggler,N,Y,fn:set_builtin,,,,,,,,
PiPPy,730,https://github.com/pytorch/PiPPy,N/A,Y,,Attr,Attr,,,,,,Yes
aiogram_dialog,720,https://github.com/Tishka17/aiogram_dialog,N,Y,only setattr for Bot class,,,,,,,,
nyuntam,712,https://github.com/nyunAI/nyuntam,N/A,Y,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,N/A,Y,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,N/A,Y,,Attr,Attr,,,,,,Yes
JSPyBridge,709,https://github.com/extremeheat/JSPyBridge,Y,Y,,Attr/Field,Attr/Field,Function,"mothly downlaod 19,449: multiple pollution",,,,
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,N/A,Y,,Attr/Field,Field,,,,,,Yes
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,N/A,Y,,Attr,Field,,,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr/Field,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
