repo_name,stars,url,Confirmed,CodeQL,FP Reason,GetType,SetType
ComfyUI,59080,https://github.com/comfyanonymous/ComfyUI,N/A,Y,,Attr,Attr
ColossalAI,38869,https://github.com/hpcaitech/ColossalAI,N/A,Y,,Attr,Attr
DeepSpeed,35764,https://github.com/microsoft/DeepSpeed,N/A,Y,,Attr,Attr
pytorch-image-models,32491,https://github.com/huggingface/pytorch-image-models,N/A,Y,,Attr,Attr
fairseq,30638,https://github.com/facebookresearch/fairseq,N/A,Y,,Attr,Attr
spaCy,30588,https://github.com/explosion/spaCy,N/A,Y,,Attr,Attr
python-fire,27202,https://github.com/google/python-fire,N/A,Y,,Attr,Field
ragflow,24695,https://github.com/infiniflow/ragflow,N/A,Y,,Attr,Attr
insightface,23651,https://github.com/deepinsight/insightface,N/A,Y,,Attr,Attr
reflex,20541,https://github.com/reflex-dev/reflex,N/A,Y,,Attr,Field
minGPT,20333,https://github.com/karpathy/minGPT,N/A,Y,,Attr,Attr
unilm,20316,https://github.com/microsoft/unilm,N/A,Y,,Attr,Attr
mlflow,18953,https://github.com/mlflow/mlflow,N/A,Y,,Attr,Attr
zipline,17891,https://github.com/quantopian/zipline,N/A,Y,,Attr,Attr
ivy,14015,https://github.com/ivy-llc/ivy,N/A,Y,,Attr,Attr
edgedb,13164,https://github.com/edgedb/edgedb,N/A,Y,,Attr,Attr
pytest,12199,https://github.com/pytest-dev/pytest,N/A,Y,,Attr,Attr
peewee,11300,https://github.com/coleifer/peewee,N/A,Y,,Attr,Attr
jinja,10492,https://github.com/pallets/jinja,N/A,Y,,Attr,Attr
nerfstudio,9621,https://github.com/nerfstudio-project/nerfstudio,N/A,Y,,Attr,Field
text-generation-inference,9192,https://github.com/huggingface/text-generation-inference,N/A,Y,,Attr,Attr
stable-diffusion-webui-forge,8736,https://github.com/lllyasviel/stable-diffusion-webui-forge,N/A,Y,,Attr,Attr
hummingbot,8472,https://github.com/hummingbot/hummingbot,N/A,Y,,Attr,Attr
conan,8316,https://github.com/conan-io/conan,N/A,Y,,Attr,Attr
accelerate,8025,https://github.com/huggingface/accelerate,N/A,Y,,Attr,Attr
ragas,7467,https://github.com/explodinggradients/ragas,N/A,Y,,Attr,Attr
modelscope,7070,https://github.com/modelscope/modelscope,N/A,Y,,Attr,Attr
ipex-llm,6770,https://github.com/intel-analytics/ipex-llm,N/A,Y,,Attr,Attr
sphinx,6645,https://github.com/sphinx-doc/sphinx,N/A,Y,,Attr,Field
