project_name,num_downloads
boto3,16514014120
botocore,7112300598
urllib3,7096682997
requests,6229741196
setuptools,5684540764
certifi,5615164798
charset-normalizer,5401053960
idna,5392170367
typing-extensions,5339492749
packaging,4867756803
python-dateutil,4746573950
s3transfer,4351274672
aiobotocore,4302543513
wheel,4126396411
pyyaml,4065659289
six,4055570520
pip,3832490907
grpcio-status,3778478838
numpy,3735108462
cryptography,3612438320
fsspec,3538944453
s3fs,3480568505
cffi,3091537130
importlib-metadata,3006947947
google-api-core,2922129168
pandas,2920280138
pycparser,2909440782
attrs,2831229529
pydantic,2772076955
zipp,2737579061
click,2717077174
protobuf,2635099544
pyasn1,2583547063
rsa,2554780392
pytz,2536539692
jmespath,2499970124
markupsafe,2486822721
jinja2,2377297014
platformdirs,2343017820
colorama,2300946918
awscli,2267655447
pyjwt,2168816093
tomli,2087546219
pluggy,1919513169
jsonschema,1887550659
wrapt,1883579346
googleapis-common-protos,1858455057
cachetools,1842270307
filelock,1838156184
google-auth,1819170085
aiohttp,1798252912
pytest,1789012679
virtualenv,1718352830
pyarrow,1657912563
sqlalchemy,1653221211
pydantic-core,1635456379
pygments,1622821087
rich,1604092927
docutils,1579566723
psutil,1568966027
exceptiongroup,1562181143
pyasn1-modules,1553246027
requests-oauthlib,1552791118
pyparsing,1548554952
iniconfig,1546450949
oauthlib,1489468152
yarl,1482661517
multidict,1471011860
werkzeug,1440547965
tzdata,1397904112
greenlet,1388691889
soupsieve,1384897540
scipy,1370772858
frozenlist,1364839814
isodate,1359827544
beautifulsoup4,1342479165
grpcio,1333480504
async-timeout,1314149692
pillow,1312377856
requests-toolbelt,1305544396
aiosignal,1292445258
tqdm,1286061075
decorator,1283587659
annotated-types,1282785236
pyopenssl,1250533534
tomlkit,1233005911
more-itertools,1220328785
distlib,1175740928
deprecated,1159364070
flask,1158438039
lxml,1148277677
sniffio,1131398027
openpyxl,1123558710
coverage,1123381410
anyio,1115928345
azure-core,1114717151
pathspec,1107028082
et-xmlfile,1104968706
h11,1064907197
rpds-py,1064846577
pynacl,1050919117
httpx,1027137126
proto-plus,1024715273
importlib-resources,1022006018
asn1crypto,1017049469
referencing,1004825336
jsonschema-specifications,1000216164
websocket-client,980731496
google-cloud-storage,974825272
mypy-extensions,970063820
msgpack,968648708
httpcore,961522166
pexpect,954678906
ptyprocess,935024159
tenacity,934751630
poetry-core,929434094
python-dotenv,920672972
gitpython,916567161
markdown-it-py,909691139
