Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
,,,,,,,Get,Set,Triggering,Remote Pattern,Local Pattern,,,
summarize-from-feedback,1000,https://github.com/openai/summarize-from-feedback,Y,N/A,override_from_pair:summarize_from_feedback/utils/hyperparams.py,,Attr,Attr,,,,,,Yes
modelzoo,989,https://github.com/Cerebras/modelzoo,Y,Y,"_set_flag:src/cerebras/modelzoo/trainer/callbacks/flags.py,set_flag:src/cerebras/modelzoo/trainer/callbacks/flags.py,_set_all_flags:src/cerebras/modelzoo/trainer/callbacks/flags.py,_restore_all_flags:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_train_start:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_train_end:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_validate_start:src/cerebras/modelzoo/trainer/callbacks/flags.py,on_validate_end:src/cerebras/modelzoo/trainer/callbacks/flags.py",,Attr,Attr,Function,import_flask|.route,,,,Yes
ONE-PEACE,989,https://github.com/OFA-Sys/ONE-PEACE,Y,N/A,"_set_module_by_path:fairseq/fairseq/trainer.py,_set_module_by_path:one_peace/trainer.py,lambda:fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,,,,,Yes
modelzoo,989,https://github.com/Cerebras/modelzoo,Y,N/A,,,Attr,Attr,Function,.route|import_flask,,,,Yes
ONE-PEACE,989,https://github.com/OFA-Sys/ONE-PEACE,Y,N/A,,,Attr,Attr,,,,,,Yes
StreamSpeech,986,https://github.com/ictnlp/StreamSpeech,Y,N/A,"_set_module_by_path:fairseq/fairseq/trainer.py,lambda:fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,import_flask|import_tornado|.route,,,,Yes
sematic,977,https://github.com/sematic-ai/sematic,Y,N,,,,,,,,,,
BMW-TensorFlow-Training-GUI,974,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Training-GUI,Y,N/A,"merge_external_params_with_configs:inference_api/src/main/object_detection/utils/config_util.py,_update_generic:inference_api/src/main/object_detection/utils/config_util.py",,Attr,Attr,,import_fastapi|import_starlette|.get/.post/.api_route,,,,Yes
BMW-TensorFlow-Training-GUI,974,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Training-GUI,Y,N/A,,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
textual-paint,974,https://github.com/1j01/textual-paint,Y,N,,,,,,,,,,
icefall,971,https://github.com/k2-fsa/icefall,Y,N/A,,,Attr,Attr,,,,,,Yes
nncf,965,https://github.com/openvinotoolkit/nncf,Y,N/A,apply_combination:nncf/quantization/algorithms/hyperparameter_tuner/algorithm.py,,Attr,Attr,,,,,,Yes
VisionLLM,962,https://github.com/OpenGVLab/VisionLLM,Y,N,,amp library: set_fn false positive,,,,,,,,
espresso,943,https://github.com/freewym/espresso,Y,N/A,"_set_module_by_path:fairseq/trainer.py,lambda:fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,,,,,Yes
espresso,943,https://github.com/freewym/espresso,Y,N/A,,,Attr,Attr,,,,,,Yes
espresso,943,https://github.com/freewym/espresso,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
BlendArMocap,941,https://github.com/cgtinker/BlendArMocap,Y,N/A,"recv_props:src/cgt_transfer/setup_helper/tf_face_mapping_helper.py,recv_props:src/cgt_transfer/setup_helper/tf_pose_mapping_helper.py,set_nested_attr:src/cgt_core/cgt_utils/cgt_user_prefs.py,apply_props2obj:src/cgt_transfer/core_transfer/tf_load_object_properties.py,get_object_attributes:src/cgt_transfer/core_transfer/tf_reflect_object_properties.py",,Attr,Attr,,,,,,Yes
BlendArMocap,941,https://github.com/cgtinker/BlendArMocap,Y,N/A,,,Attr,Attr,,,,,,Yes
MCDReforged,936,https://github.com/MCDReforged/MCDReforged,Y,N/A,set_values:mcdreforged/mcdr_config.py,,Attr,Attr,,,,,,Yes
MCDReforged,936,https://github.com/MCDReforged/MCDReforged,Y,N/A,,,Attr,Attr,,,,,,Yes
humanoid-gym,922,https://github.com/roboterax/humanoid-gym,Y,N/A,update_class_from_dict:humanoid/utils/helpers.py,,Attr,Attr,,,,,,Yes
genforce,908,https://github.com/genforce/genforce,Y,N/A,create_session:converters/pggan_official/tfutil.py,,Attr,Attr,,,,,,Yes
pyatv,906,https://github.com/postlund/pyatv,Y,N/A,update_model_field:pyatv/support/__init__.py,,Attr,Attr,,import_aiohttp|add_route|.get/.post/.api_route,,,,Yes
noah-research,877,https://github.com/huawei-noah/noah-research,Y,N/A,"_set_module_by_path:noahnmt/multiuat/fairseq/fairseq/multidds_trainer.py,_set_module_by_path:noahnmt/multiuat/fairseq/fairseq/multiuncertain_trainer.py,_set_module_by_path:noahnmt/multiuat/fairseq/fairseq/trainer.py,lambda:noahnmt/multiuat/fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:noahnmt/multiuat/fairseq/fairseq/modules/quantization/pq/utils.py",Y,Attr,Attr,,import_tornado,,,,Yes
ODISE,875,https://github.com/NVlabs/ODISE,Y,N/A,load_open_state_dict:odise/modeling/meta_arch/odise.py,,Attr,Attr,,import_gradio,,,,Yes
R-Drop,870,https://github.com/dropreg/R-Drop,Y,N/A,"_set_module_by_path:fairseq_src/fairseq/trainer.py,lambda:fairseq_src/fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq_src/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,import_fastapi|import_starlette,,,,Yes
R-Drop,870,https://github.com/dropreg/R-Drop,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
R-Drop,870,https://github.com/dropreg/R-Drop,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
VoiceprintRecognition-Pytorch,858,https://github.com/yeyupiaoling/VoiceprintRecognition-Pytorch,Y,N/A,"__init__:mvector/predict.py,__init__:mvector/trainer.py",,Attr,Attr,,,,,,Yes
model_bakery,855,https://github.com/model-bakers/model_bakery,Y,N/A,_save_related_objs:model_bakery/baker.py,,Attr,Attr,,import_django,,,,Yes
sample-factory,848,https://github.com/alex-petrenko/sample-factory,Y,N/A,"safe_get:sf_examples/vizdoom/doom/multiplayer/doom_multiagent_wrapper.py,_set_env_attr:sf_examples/vizdoom/doom/multiplayer/doom_multiagent_wrapper.py",,Attr,Attr,,,,,,Yes
sample-factory,848,https://github.com/alex-petrenko/sample-factory,Y,N/A,,,Attr,Attr,,,,,,Yes
vega,848,https://github.com/huawei-noah/vega,Y,N/A,"change_module:vega/algorithms/nas/opt_nas/ops_nas.py,change_module:vega/model_zoo/model_zoo.py",,Attr,Attr,,import_flask|import_flask_restful,,,,Yes
wiktextract,843,https://github.com/tatuylonen/wiktextract,Y,N,,only one layer.,N,N,,,,,,
d2go,843,https://github.com/facebookresearch/d2go,N,N/A,"rgetattr:d2go/runner/callbacks/quantization.py,_getattr:d2go/runner/callbacks/quantization.py",N,Attr,Attr,,,,,,
PPASR,832,https://github.com/yeyupiaoling/PPASR,Y,N/A,__init__:ppasr/trainer.py,,Attr,Attr,,import_fastapi|import_starlette|.get/.post/.api_route,,,,Yes
