Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
,,,,,,,Get,Set,Triggering,Remote Pattern,Local Pattern,,,
ComfyUI,59080,https://github.com/comfyanonymous/ComfyUI,Y,Y,set_attr:comfy/utils.py,,Attr,Attr,Function,import_aiohttp|.get/.post/.api_route,,,"set_attr, set_attr_param",
open-interpreter,57277,https://github.com/OpenInterpreter/open-interpreter,Y,Y,"apply_profile_to_object:interpreter/terminal_interface/profiles/profiles.py,__init__:interpreter/core/core.py,get_profile:interpreter/terminal_interface/profiles/profiles.py,start_terminal_interface:interpreter/terminal_interface/start_terminal_interface.py,get_argument_dictionary:interpreter/terminal_interface/start_terminal_interface.py",,Attr,Attr,Local,import_starlette|.get/.post/.api_route|import_fastapi,,,,
ColossalAI,38869,https://github.com/hpcaitech/ColossalAI,Y,Y,"solution_annotation_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,size_value_converting_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,node_args_converting_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,module_params_sharding_pass:colossalai/auto_parallel/passes/runtime_preparation_pass.py,setattr_:colossalai/shardformer/_utils.py,_recursive_replace_layer:colossalai/shardformer/shard/sharder.py,_replace_attr:colossalai/shardformer/shard/sharder.py,_replace_sub_module:colossalai/shardformer/shard/sharder.py",,Attr,Attr,Function,.get/.post/.api_route|import_pytorch_lightning|import_fastapi|import_starlette|import_sanic|import_gradio,,,"module_params_sharding_pass, setattr_",
airflow,37484,https://github.com/apache/airflow,Y,N,,not nested get; get processed between get and set;,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_starlette|.route|import_fastapi|import_flask,,,,Yes
Open-Assistant,37102,https://github.com/LAION-AI/Open-Assistant,Y,Y,rsetattr:model/model_training/efficiency_utils.py,,Attr,Attr,Function,import_aiohttp|import_fastapi_utils|.get/.post/.api_route|import_fastapi|import_starlette,,,,Yes
DeepSpeed,35764,https://github.com/microsoft/DeepSpeed,Y,Y,"recursive_setattr:deepspeed/compression/helper.py,recursive_setattr:deepspeed/inference/quantization/utils.py,get_module_name:deepspeed/compression/compress.py",,Attr,Attr,Function,,,,"recursive_setattr,",
pytorch-image-models,32491,https://github.com/huggingface/pytorch-image-models,Y,Y,set_layer:timm/models/_prune.py,,Attr,Attr,Function,,,,set_layer,
fairseq,30638,https://github.com/facebookresearch/fairseq,Y,Y,"_set_module_by_path:fairseq/trainer.py,lambda:fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/modules/quantization/pq/utils.py",,Attr,Attr,Function,,,,"_set_module_by_path, attrsetter",
spaCy,30588,https://github.com/explosion/spaCy,Y,Y,__call__:spacy/pipeline/functions.py,,Attr,Attr,Function,,,,DocCleaner.__call__ (built in pipeline function),
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,N,"_set_module_by_path:src/lightning/pytorch/utilities/parameter_tying.py,_find_shared_parameters:src/lightning/pytorch/utilities/parameter_tying.py",,N,N,,.get/.post/.api_route|import_pytorch_lightning|import_fastapi,,,,
pytorch-lightning,28568,https://github.com/Lightning-AI/pytorch-lightning,Y,Y,,,Attr,Attr,Function,,,,,
