Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
,,,,,,,Get,Set,Triggering,Remote Pattern,Local Pattern,,,
google-api-core,344929604,https://pypi.org/project/google-api-core,Y,N,"set:google/api_core/protobuf_helpers.py,_set_field_on_message:google/api_core/protobuf_helpers.py",,Attr/Field,Attr/Field,,,,,,Yes
google-api-core,344929604,https://pypi.org/project/google-api-core,Y,N,,,Attr/Field,Attr,,,,,,Yes
protobuf,258550650,https://pypi.org/project/protobuf,Y,N,"_ConvertMapFieldValue:google/protobuf/json_format.py,_MergeMessage:google/protobuf/internal/field_mask.py,genexpr:google/protobuf/json_format.py",,Attr,Attr,,,,,,Yes
pytest,197685962,https://pypi.org/project/pytest,Y,N,derive_importpath:_pytest/monkeypatch.py,,Attr,Attr,,,,,,No
wrapt,189422095,https://pypi.org/project/wrapt,Y,N/A,resolve_path:wrapt/patches.py,,Attr,Attr,,,,,,No
azure-storage-blob,60061248,https://pypi.org/project/azure-storage-blob,Y,N/A,"deserialize_data:azure/storage/blob/_generated/_serialization.py,deserialize_from_text:azure/storage/blob/_generated/_serialization.py,_json_attemp:azure/storage/blob/_generated/_serialization.py,deserialize_from_http_generics:azure/storage/blob/_generated/_serialization.py,deserialize:azure/storage/blob/_generated/_serialization.py,from_dict:azure/storage/blob/_generated/_serialization.py,failsafe_deserialize:azure/storage/blob/_generated/_serialization.py",,Attr,Attr,,,,,,Yes
mako,49342702,https://pypi.org/project/mako,Y,N/A,"iter_fields:mako/_ast_util.py,parse:mako/_ast_util.py,__init__:mako/ast.py,__init__:mako/codegen.py,__init__:mako/parsetree.py,compile:mako/codegen.py,write_toplevel:mako/codegen.py,_parse_attributes:mako/parsetree.py,undeclared_identifiers:mako/parsetree.py,genexpr:mako/parsetree.py,_compile:mako/template.py,_compile_module_file:mako/template.py",,Attr,Attr,,,,,,Yes
msrest,34152166,https://pypi.org/project/msrest,Y,N/A,"deserialize_data:msrest/serialization.py,deserialize_from_text:msrest/pipeline/universal.py,deserialize:msrest/serialization.py,from_dict:msrest/serialization.py,failsafe_deserialize:msrest/serialization.py,_json_attemp:msrest/pipeline/universal.py",,Attr,Attr,,import_aiohttp,,,,Yes
astroid,30041259,https://pypi.org/project/astroid,Y,N/A,_visit_generic:astroid/transforms.py,,Attr,Attr,,,,,,Yes
deepdiff,24419568,https://pypi.org/project/deepdiff,Y,Y,"_do_item_added:deepdiff/delta.py,_do_values_or_type_changed:deepdiff/delta.py,_do_item_removed:deepdiff/delta.py,_simple_set_elem_value:deepdiff/delta.py,_get_elements_and_details:deepdiff/delta.py,_path_to_elements:deepdiff/path.py",,Attr/Field,Attr/Field,Function,,,,,No
